"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|ES","Nuclear","7096.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|ES","Other","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|ES","Other renewable","72.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|ES","Solar","28.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|ES","Energy storage","n/e"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|ES","Waste","247.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|ES","Wind Offshore","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|ES","Wind Onshore","5553.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Biomass","214.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Fossil Gas","4477.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Fossil Hard coal","272.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Fossil Oil","20.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Geothermal","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Hydro Pumped Storage","792.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Hydro Run-of-river and poundage","921.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Hydro Water Reservoir","1686.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Marine","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Nuclear","7096.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Other","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Other renewable","74.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Solar","28.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Energy storage","n/e"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Waste","243.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Wind Offshore","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","Wind Onshore","5230.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Biomass","219.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Fossil Gas","4438.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Fossil Hard coal","272.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Fossil Oil","20.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Geothermal","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Hydro Pumped Storage","377.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Hydro Run-of-river and poundage","903.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Hydro Water Reservoir","1540.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Marine","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Nuclear","7096.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Other","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Other renewable","73.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Solar","28.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Energy storage","n/e"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Waste","246.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Wind Offshore","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","Wind Onshore","5233.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Biomass","212.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
