"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Biomass","166.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Fossil Gas","2931.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Fossil Hard coal","292.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Fossil Oil","40.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Geothermal","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Hydro Pumped Storage","64.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Hydro Run-of-river and poundage","953.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Hydro Water Reservoir","2249.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Marine","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Nuclear","6464.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Other","12.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Other renewable","79.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Solar","20.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Energy storage","n/e"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Waste","233.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Wind Offshore","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Wind Onshore","6421.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|ES","Biomass","155.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|ES","Fossil Gas","2982.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|ES","Fossil Hard coal","405.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|ES","Fossil Oil","40.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|ES","Geothermal","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|ES","Hydro Pumped Storage","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|ES","Hydro Run-of-river and poundage","943.00"
