 "MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
 "01/01/2024 14:15:00 - 01/01/2024 14:30:00","BZN|ES","22382.00","21736.00"
 "01/01/2024 14:30:00 - 01/01/2024 14:45:00","BZN|ES","22292.00","21576.00"
 "01/01/2024 14:45:00 - 01/01/2024 15:00:00","BZN|ES","22107.00","21304.00"
 "01/01/2024 15:00:00 - 01/01/2024 15:15:00","BZN|ES","21821.00","21084.00"
 "01/01/2024 15:15:00 - 01/01/2024 15:30:00","BZN|ES","21619.00","20860.00"
 "01/01/2024 15:30:00 - 01/01/2024 15:45:00","BZN|ES","21481.00","20772.00"
 "01/01/2024 15:45:00 - 01/01/2024 16:00:00","BZN|ES","21416.00","20652.00"
 "01/01/2024 16:00:00 - 01/01/2024 16:15:00","BZN|ES","21283.00","20616.00"
 "01/01/2024 16:15:00 - 01/01/2024 16:30:00","BZN|ES","21351.00","20680.00"
 "01/01/2024 16:30:00 - 01/01/2024 16:45:00","BZN|ES","21484.00","20768.00"
 "01/01/2024 16:45:00 - 01/01/2024 17:00:00","BZN|ES","21693.00","20984.00"
 "01/01/2024 17:00:00 - 01/01/2024 17:15:00","BZN|ES","21805.00","21280.00"
 "01/01/2024 17:15:00 - 01/01/2024 17:30:00","BZN|ES","22211.00","21652.00"
 "01/01/2024 17:30:00 - 01/01/2024 17:45:00","BZN|ES","22728.00","21984.00"
 "01/01/2024 17:45:00 - 01/01/2024 18:00:00","BZN|ES","23307.00","22460.00"
 "01/01/2024 18:00:00 - 01/01/2024 18:15:00","BZN|ES","24052.00","23180.00"
 "01/01/2024 18:15:00 - 01/01/2024 18:30:00","BZN|ES","24573.00","24032.00"
 "01/01/2024 18:30:00 - 01/01/2024 18:45:00","BZN|ES","24986.00","24720.00"
 "01/01/2024 18:45:00 - 01/01/2024 19:00:00","BZN|ES","25317.00","25232.00"
 "01/01/2024 19:00:00 - 01/01/2024 19:15:00","BZN|ES","25608.00","25524.00"
 "01/01/2024 19:15:00 - 01/01/2024 19:30:00","BZN|ES","25897.00","25900.00"
 "01/01/2024 19:30:00 - 01/01/2024 19:45:00","BZN|ES","26214.00","26116.00"
 "01/01/2024 19:45:00 - 01/01/2024 20:00:00","BZN|ES","26537.00","26308.00"
 "01/01/2024 20:00:00 - 01/01/2024 20:15:00","BZN|ES","26982.00","26536.00"
 "01/01/2024 20:15:00 - 01/01/2024 20:30:00","BZN|ES","27210.00","26892.00"
 "01/01/2024 20:30:00 - 01/01/2024 20:45:00","BZN|ES","27344.00","27176.00"
 "01/01/2024 20:45:00 - 01/01/2024 21:00:00","BZN|ES","27384.00","27332.00"
 "01/01/2024 21:00:00 - 01/01/2024 21:15:00","BZN|ES","27494.00","27516.00"
 "01/01/2024 21:15:00 - 01/01/2024 21:30:00","BZN|ES","27371.00","27640.00"
 "01/01/2024 21:30:00 - 01/01/2024 21:45:00","BZN|ES","27175.00","27644.00"
 "01/01/2024 21:45:00 - 01/01/2024 22:00:00","BZN|ES","26904.00","27372.00"
 "01/01/2024 22:00:00 - 01/01/2024 22:15:00","BZN|ES","26731.00","26988.00"
 "01/01/2024 22:15:00 - 01/01/2024 22:30:00","BZN|ES","26284.00","26508.00"
 "01/01/2024 22:30:00 - 01/01/2024 22:45:00","BZN|ES","25748.00","26036.00"
 "01/01/2024 22:45:00 - 01/01/2024 23:00:00","BZN|ES","25146.00","25532.00"
 "01/01/2024 23:00:00 - 01/01/2024 23:15:00","BZN|ES","24524.00","25024.00"
 "01/01/2024 23:15:00 - 01/01/2024 23:30:00","BZN|ES","23886.00","24300.00"
 "01/01/2024 23:30:00 - 01/01/2024 23:45:00","BZN|ES","23272.00","23776.00"
 "01/01/2024 23:45:00 - 02/01/2024 00:00:00","BZN|ES","22690.00","23072.00"
 "02/01/2024 00:00:00 - 02/01/2024 00:15:00","BZN|ES","22088.00","22504.00"
 "02/01/2024 00:15:00 - 02/01/2024 00:30:00","BZN|ES","21553.00","22112.00"
 "02/01/2024 00:30:00 - 02/01/2024 00:45:00","BZN|ES","21056.00","21576.00"
 "02/01/2024 00:45:00 - 02/01/2024 01:00:00","BZN|ES","20597.00","21132.00"
 "02/01/2024 01:00:00 - 02/01/2024 01:15:00","BZN|ES","20116.00","20672.00"
 "02/01/2024 01:15:00 - 02/01/2024 01:30:00","BZN|ES","19734.00","20116.00"
 "02/01/2024 01:30:00 - 02/01/2024 01:45:00","BZN|ES","19390.00","19844.00"
 "02/01/2024 01:45:00 - 02/01/2024 02:00:00","BZN|ES","19087.00","19468.00"
 "02/01/2024 02:00:00 - 02/01/2024 02:15:00","BZN|ES","18744.00","19184.00"
 "02/01/2024 02:15:00 - 02/01/2024 02:30:00","BZN|ES","18531.00","18984.00"
 "02/01/2024 02:30:00 - 02/01/2024 02:45:00","BZN|ES","18363.00","18764.00"
 "02/01/2024 02:45:00 - 02/01/2024 03:00:00","BZN|ES","18234.00","18636.00"
 "02/01/2024 03:00:00 - 02/01/2024 03:15:00","BZN|ES","18099.00","18496.00"
 "02/01/2024 03:15:00 - 02/01/2024 03:30:00","BZN|ES","18019.00","18428.00"
 "02/01/2024 03:30:00 - 02/01/2024 03:45:00","BZN|ES","17950.00","18344.00"
 "02/01/2024 03:45:00 - 02/01/2024 04:00:00","BZN|ES","17901.00","18284.00"
 "02/01/2024 04:00:00 - 02/01/2024 04:15:00","BZN|ES","17789.00","18236.00"
 "02/01/2024 04:15:00 - 02/01/2024 04:30:00","BZN|ES","17806.00","18276.00"
 "02/01/2024 04:30:00 - 02/01/2024 04:45:00","BZN|ES","17874.00","18336.00"
 "02/01/2024 04:45:00 - 02/01/2024 05:00:00","BZN|ES","18018.00","18336.00"
 "02/01/2024 05:00:00 - 02/01/2024 05:15:00","BZN|ES","18003.00","18364.00"
 "02/01/2024 05:15:00 - 02/01/2024 05:30:00","BZN|ES","18385.00","18652.00"
 "02/01/2024 05:30:00 - 02/01/2024 05:45:00","BZN|ES","18920.00","18936.00"
 "02/01/2024 05:45:00 - 02/01/2024 06:00:00","BZN|ES","19593.00","19148.00"
 "02/01/2024 06:00:00 - 02/01/2024 06:15:00","BZN|ES","20292.00","19540.00"
 "02/01/2024 06:15:00 - 02/01/2024 06:30:00","BZN|ES","21159.00","20736.00"
 "02/01/2024 06:30:00 - 02/01/2024 06:45:00","BZN|ES","22083.00","21480.00"
