"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Biomass","492.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Fossil Gas","4527.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Fossil Hard coal","261.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Fossil Oil","79.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Geothermal","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Hydro Pumped Storage"," "
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Hydro Run-of-river and poundage","1512.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Hydro Water Reservoir","4668.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Marine","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Nuclear","7117.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Other renewable","96.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Solar","10.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Waste","218.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Wind Offshore","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Wind Onshore","6879.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Other","55.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Energy storage","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|ES","Biomass","493.00"
