"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|ES","Without sequence","67.0",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|ES","Without sequence","63.6",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|ES","Without sequence","57.1",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|ES","Without sequence","55.0",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|ES","Without sequence","55.42",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|ES","Without sequence","61.0",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|ES","Without sequence","66.03",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|ES","Without sequence","67.52",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|ES","Without sequence","89.57",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|ES","Without sequence","94.2",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|ES","Without sequence","104.35",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|ES","Without sequence","113.26",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|ES","Without sequence","113.26",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|ES","Without sequence","94.2",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|ES","Without sequence","86.58",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|ES","Without sequence","90.39",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|ES","Without sequence","87.0",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|ES","Without sequence","80.21",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|ES","Without sequence","70.1",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|ES","Without sequence","66.86",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|ES","Without sequence","68.14",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|ES","Without sequence","86.74",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|ES","Without sequence","94.51",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|ES","Without sequence","96.0",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|ES","Without sequence","98.13",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|ES","Without sequence","95.0",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|ES","Without sequence","90.35",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|ES","Without sequence","89.0",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|ES","Without sequence","85.96",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|ES","Without sequence","92.11",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|ES","Without sequence","98.62",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|ES","Without sequence","99.5",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|ES","Without sequence","100.0",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|ES","Without sequence","102.57",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|ES","Without sequence","104.0",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|ES","Without sequence","105.18",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|ES","Without sequence","102.42",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|ES","Without sequence","99.41",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|ES","Without sequence","90.39",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|ES","Without sequence","86.08",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|ES","Without sequence","80.51",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|ES","Without sequence","77.01",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|ES","Without sequence","70.67",""
