"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency","BZN|DE-LU"
"01.01.2024 19:45 - 01.01.2024 20:00","25.05","EUR"
"01.01.2024 20:00 - 01.01.2024 20:15","30.07","EUR"
"01.01.2024 20:15 - 01.01.2024 20:30","79.92","EUR"
"01.01.2024 20:30 - 01.01.2024 20:45","46.43","EUR"
"01.01.2024 20:45 - 01.01.2024 21:00","20.10","EUR"
"01.01.2024 21:00 - 01.01.2024 21:15","79.90","EUR"
"01.01.2024 21:15 - 01.01.2024 21:30","20.09","EUR"
"01.01.2024 21:30 - 01.01.2024 21:45","35.29","EUR"
"01.01.2024 21:45 - 01.01.2024 22:00","15.10","EUR"
"01.01.2024 22:00 - 01.01.2024 22:15","79.91","EUR"
"01.01.2024 22:15 - 01.01.2024 22:30","32.72","EUR"
"01.01.2024 22:30 - 01.01.2024 22:45","15.07","EUR"
"01.01.2024 22:45 - 01.01.2024 23:00","10.08","EUR"
"01.01.2024 23:00 - 01.01.2024 23:15","74.90","EUR"
"01.01.2024 23:15 - 01.01.2024 23:30","15.07","EUR"
"01.01.2024 23:30 - 01.01.2024 23:45","10.08","EUR"
"01.01.2024 23:45 - 02.01.2024 00:00","5.05","EUR"
"02.01.2024 00:00 - 02.01.2024 00:15","74.93","EUR"
"02.01.2024 00:15 - 02.01.2024 00:30","56.11","EUR"
"02.01.2024 00:30 - 02.01.2024 00:45","7.59","EUR"
"02.01.2024 00:45 - 02.01.2024 01:00","5.07","EUR"
"02.01.2024 01:00 - 02.01.2024 01:15","67.42","EUR"
"02.01.2024 01:15 - 02.01.2024 01:30","10.09","EUR"
"02.01.2024 01:30 - 02.01.2024 01:45","40.84","EUR"
"02.01.2024 01:45 - 02.01.2024 02:00","-0.01","EUR"
"02.01.2024 02:00 - 02.01.2024 02:15","42.88","EUR"
"02.01.2024 02:15 - 02.01.2024 02:30","5.10","EUR"
"02.01.2024 02:30 - 02.01.2024 02:45","54.90","EUR"
"02.01.2024 02:45 - 02.01.2024 03:00","0.09","EUR"
"02.01.2024 03:00 - 02.01.2024 03:15","30.18","EUR"
"02.01.2024 03:15 - 02.01.2024 03:30","2.58","EUR"
"02.01.2024 03:30 - 02.01.2024 03:45","2.57","EUR"
"02.01.2024 03:45 - 02.01.2024 04:00","54.91","EUR"
"02.01.2024 04:00 - 02.01.2024 04:15","2.57","EUR"
"02.01.2024 04:15 - 02.01.2024 04:30","2.58","EUR"
"02.01.2024 04:30 - 02.01.2024 04:45","27.41","EUR"
"02.01.2024 04:45 - 02.01.2024 05:00","57.45","EUR"
