"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"23/12/2024 00:00:00 - 23/12/2024 01:00:00","BZN|ES","Without sequence","17.27","",""
"23/12/2024 01:00:00 - 23/12/2024 02:00:00","BZN|ES","Without sequence","11.48","",""
"23/12/2024 02:00:00 - 23/12/2024 03:00:00","BZN|ES","Without sequence","10.19","",""
"23/12/2024 03:00:00 - 23/12/2024 04:00:00","BZN|ES","Without sequence","7.33","",""
"23/12/2024 04:00:00 - 23/12/2024 05:00:00","BZN|ES","Without sequence","6.0","",""
"23/12/2024 05:00:00 - 23/12/2024 06:00:00","BZN|ES","Without sequence","7.07","",""
"23/12/2024 06:00:00 - 23/12/2024 07:00:00","BZN|ES","Without sequence","25.95","",""
"23/12/2024 07:00:00 - 23/12/2024 08:00:00","BZN|ES","Without sequence","61.2","",""
"23/12/2024 08:00:00 - 23/12/2024 09:00:00","BZN|ES","Without sequence","72.47","",""
"23/12/2024 09:00:00 - 23/12/2024 10:00:00","BZN|ES","Without sequence","70.93","",""
"23/12/2024 10:00:00 - 23/12/2024 11:00:00","BZN|ES","Without sequence","25.0","",""
"23/12/2024 11:00:00 - 23/12/2024 12:00:00","BZN|ES","Without sequence","5.11","",""
"23/12/2024 12:00:00 - 23/12/2024 13:00:00","BZN|ES","Without sequence","3.32","",""
"23/12/2024 13:00:00 - 23/12/2024 14:00:00","BZN|ES","Without sequence","3.32","",""
"23/12/2024 14:00:00 - 23/12/2024 15:00:00","BZN|ES","Without sequence","3.6","",""
"23/12/2024 15:00:00 - 23/12/2024 16:00:00","BZN|ES","Without sequence","5.0","",""
"23/12/2024 16:00:00 - 23/12/2024 17:00:00","BZN|ES","Without sequence","30.9","",""
"23/12/2024 17:00:00 - 23/12/2024 18:00:00","BZN|ES","Without sequence","87.11","",""
"23/12/2024 18:00:00 - 23/12/2024 19:00:00","BZN|ES","Without sequence","114.72","",""
"23/12/2024 19:00:00 - 23/12/2024 20:00:00","BZN|ES","Without sequence","124.89","",""
"23/12/2024 20:00:00 - 23/12/2024 21:00:00","BZN|ES","Without sequence","118.97","",""
"23/12/2024 21:00:00 - 23/12/2024 22:00:00","BZN|ES","Without sequence","109.28","",""
"23/12/2024 22:00:00 - 23/12/2024 23:00:00","BZN|ES","Without sequence","105.82","",""
"23/12/2024 23:00:00 - 24/12/2024 00:00:00","BZN|ES","Without sequence","90.8","",""
