"Time (CET/CEST)","France (FR) > Spain (ES) [MW]","Spain (ES) > France (FR) [MW]"
"02.01.2024 01:15 - 02.01.2024 01:30","2579","0"
"02.01.2024 01:30 - 02.01.2024 01:45","2521","0"
"02.01.2024 01:45 - 02.01.2024 02:00","2462","0"
"02.01.2024 02:00 - 02.01.2024 02:15","2462","0"
"02.01.2024 02:15 - 02.01.2024 02:30","2492","0"
"02.01.2024 02:30 - 02.01.2024 02:45","2477","0"
"02.01.2024 02:45 - 02.01.2024 03:00","2452","0"
"02.01.2024 03:00 - 02.01.2024 03:15","2493","0"
"02.01.2024 03:15 - 02.01.2024 03:30","2500","0"
"02.01.2024 03:30 - 02.01.2024 03:45","2454","0"
"02.01.2024 03:45 - 02.01.2024 04:00","2507","0"
"02.01.2024 04:00 - 02.01.2024 04:15","2460","0"
"02.01.2024 04:15 - 02.01.2024 04:30","2773","0"
"02.01.2024 04:30 - 02.01.2024 04:45","2836","0"
"02.01.2024 04:45 - 02.01.2024 05:00","2765","0"
"02.01.2024 05:00 - 02.01.2024 05:15","2758","0"
"02.01.2024 05:15 - 02.01.2024 05:30","2672","0"
"02.01.2024 05:30 - 02.01.2024 05:45","2752","0"
"02.01.2024 05:45 - 02.01.2024 06:00","2853","0"
"02.01.2024 06:00 - 02.01.2024 06:15","2877","0"
"02.01.2024 06:15 - 02.01.2024 06:30","3099","0"
"02.01.2024 06:30 - 02.01.2024 06:45","3168","0"
"02.01.2024 06:45 - 02.01.2024 07:00","3045","0"
"02.01.2024 07:00 - 02.01.2024 07:15","3066","0"
"02.01.2024 07:15 - 02.01.2024 07:30","3164","0"
"02.01.2024 07:30 - 02.01.2024 07:45","3034","0"
"02.01.2024 07:45 - 02.01.2024 08:00","2983","0"
"02.01.2024 08:00 - 02.01.2024 08:15","2766","0"
"02.01.2024 08:15 - 02.01.2024 08:30","2023","0"
"02.01.2024 08:30 - 02.01.2024 08:45","2075","0"
"02.01.2024 08:45 - 02.01.2024 09:00","1916","0"
"02.01.2024 09:00 - 02.01.2024 09:15","1681","0"
"02.01.2024 09:15 - 02.01.2024 09:30","1576","0"
"02.01.2024 09:30 - 02.01.2024 09:45","1156","0"
"02.01.2024 09:45 - 02.01.2024 10:00","843","0"
"02.01.2024 10:00 - 02.01.2024 10:15","963","0"
"02.01.2024 10:15 - 02.01.2024 10:30","872","0"
"02.01.2024 10:30 - 02.01.2024 10:45","620","0"
"02.01.2024 10:45 - 02.01.2024 11:00","695","0"
"02.01.2024 11:00 - 02.01.2024 11:15","778","0"
"02.01.2024 11:15 - 02.01.2024 11:30","658","0"
"02.01.2024 11:30 - 02.01.2024 11:45","77","0"
"02.01.2024 11:45 - 02.01.2024 12:00","0","170"
"02.01.2024 12:00 - 02.01.2024 12:15","284","0"
"02.01.2024 12:15 - 02.01.2024 12:30","1001","0"
"02.01.2024 12:30 - 02.01.2024 12:45","1203","0"
"02.01.2024 12:45 - 02.01.2024 13:00","913","0"
"02.01.2024 13:00 - 02.01.2024 13:15","791","0"
"02.01.2024 13:15 - 02.01.2024 13:30","1134","0"
"02.01.2024 13:30 - 02.01.2024 13:45","1236","0"
"02.01.2024 13:45 - 02.01.2024 14:00","1114","0"
"02.01.2024 14:00 - 02.01.2024 14:15","1408","0"
"02.01.2024 14:15 - 02.01.2024 14:30","1052","0"
"02.01.2024 14:30 - 02.01.2024 14:45","533","0"
"02.01.2024 14:45 - 02.01.2024 15:00","300","0"
"02.01.2024 15:00 - 02.01.2024 15:15","0","207"
"02.01.2024 15:15 - 02.01.2024 15:30","0","91"
"02.01.2024 15:30 - 02.01.2024 15:45","449","0"
"02.01.2024 15:45 - 02.01.2024 16:00","400","0"
"02.01.2024 16:00 - 02.01.2024 16:15","245","0"
"02.01.2024 16:15 - 02.01.2024 16:30","1295","0"
"02.01.2024 16:30 - 02.01.2024 16:45","1560","0"
"02.01.2024 16:45 - 02.01.2024 17:00","1612","0"
"02.01.2024 17:00 - 02.01.2024 17:15","1193","0"
"02.01.2024 17:15 - 02.01.2024 17:30","366","0"
"02.01.2024 17:30 - 02.01.2024 17:45","178","0"
"02.01.2024 17:45 - 02.01.2024 18:00","271","0"
"02.01.2024 18:00 - 02.01.2024 18:15","548","0"
"02.01.2024 18:15 - 02.01.2024 18:30","422","0"
"02.01.2024 18:30 - 02.01.2024 18:45","489","0"
"02.01.2024 18:45 - 02.01.2024 19:00","721","0"
"02.01.2024 19:00 - 02.01.2024 19:15","567","0"
"02.01.2024 19:15 - 02.01.2024 19:30","270","0"
"02.01.2024 19:30 - 02.01.2024 19:45","181","0"
"02.01.2024 19:45 - 02.01.2024 20:00","526","0"
"02.01.2024 20:00 - 02.01.2024 20:15","828","0"
"02.01.2024 20:15 - 02.01.2024 20:30","2366","0"
"02.01.2024 20:30 - 02.01.2024 20:45","3032","0"
"02.01.2024 20:45 - 02.01.2024 21:00","3071","0"
"02.01.2024 21:00 - 02.01.2024 21:15","2957","0"
"02.01.2024 21:15 - 02.01.2024 21:30","2677","0"
"02.01.2024 21:30 - 02.01.2024 21:45","2594","0"
"02.01.2024 21:45 - 02.01.2024 22:00","2667","0"
"02.01.2024 22:00 - 02.01.2024 22:15","2524","0"
"02.01.2024 22:15 - 02.01.2024 22:30","2469","0"
"02.01.2024 22:30 - 02.01.2024 22:45","2680","0"
"02.01.2024 22:45 - 02.01.2024 23:00","2640","0"
"02.01.2024 23:00 - 02.01.2024 23:15","2570","0"
"02.01.2024 23:15 - 02.01.2024 23:30","2355","0"
"02.01.2024 23:30 - 02.01.2024 23:45","2554","0"
"02.01.2024 23:45 - 03.01.2024 00:00","2537","0"
"03.01.2024 00:00 - 03.01.2024 00:15","2671","0"
"03.01.2024 00:15 - 03.01.2024 00:30","2620","0"
"03.01.2024 00:30 - 03.01.2024 00:45","2743","0"
