"Time (CET/CEST)","France (FR) > Spain (ES) [MW]","Spain (ES) > France (FR) [MW]"
"30.01.2024 21:15 - 30.01.2024 21:30","2433","0"
"30.01.2024 21:30 - 30.01.2024 21:45","2480","0"
"30.01.2024 21:45 - 30.01.2024 22:00","2505","0"
"30.01.2024 22:00 - 30.01.2024 22:15","2510","0"
"30.01.2024 22:15 - 30.01.2024 22:30","1702","0"
"30.01.2024 22:30 - 30.01.2024 22:45","1546","0"
"30.01.2024 22:45 - 30.01.2024 23:00","1627","0"
"30.01.2024 23:00 - 30.01.2024 23:15","1623","0"
"30.01.2024 23:15 - 30.01.2024 23:30","1572","0"
"30.01.2024 23:30 - 30.01.2024 23:45","1351","0"
"30.01.2024 23:45 - 31.01.2024 00:00","1443","0"
"31.01.2024 00:00 - 31.01.2024 00:15","1412","0"
"31.01.2024 00:15 - 31.01.2024 00:30","758","0"
"31.01.2024 00:30 - 31.01.2024 00:45","843","0"
"31.01.2024 00:45 - 31.01.2024 01:00","711","0"
"31.01.2024 01:00 - 31.01.2024 01:15","532","0"
"31.01.2024 01:15 - 31.01.2024 01:30","0","309"
"31.01.2024 01:30 - 31.01.2024 01:45","0","692"
"31.01.2024 01:45 - 31.01.2024 02:00","0","635"
"31.01.2024 02:00 - 31.01.2024 02:15","0","610"
"31.01.2024 02:15 - 31.01.2024 02:30","0","304"
"31.01.2024 02:30 - 31.01.2024 02:45","0","199"
"31.01.2024 02:45 - 31.01.2024 03:00","0","165"
"31.01.2024 03:00 - 31.01.2024 03:15","0","288"
"31.01.2024 03:15 - 31.01.2024 03:30","0","477"
"31.01.2024 03:30 - 31.01.2024 03:45","0","505"
"31.01.2024 03:45 - 31.01.2024 04:00","0","496"
"31.01.2024 04:00 - 31.01.2024 04:15","0","452"
"31.01.2024 04:15 - 31.01.2024 04:30","0","301"
"31.01.2024 04:30 - 31.01.2024 04:45","0","371"
"31.01.2024 04:45 - 31.01.2024 05:00","0","517"
"31.01.2024 05:00 - 31.01.2024 05:15","0","353"
"31.01.2024 05:15 - 31.01.2024 05:30","0","987"
"31.01.2024 05:30 - 31.01.2024 05:45","0","1174"
"31.01.2024 05:45 - 31.01.2024 06:00","0","1077"
"31.01.2024 06:00 - 31.01.2024 06:15","0","1243"
"31.01.2024 06:15 - 31.01.2024 06:30","0","1807"
"31.01.2024 06:30 - 31.01.2024 06:45","0","2028"
"31.01.2024 06:45 - 31.01.2024 07:00","0","2193"
"31.01.2024 07:00 - 31.01.2024 07:15","0","2013"
"31.01.2024 07:15 - 31.01.2024 07:30","0","558"
"31.01.2024 07:30 - 31.01.2024 07:45","0","519"
"31.01.2024 07:45 - 31.01.2024 08:00","0","327"
"31.01.2024 08:00 - 31.01.2024 08:15","0","553"
"31.01.2024 08:15 - 31.01.2024 08:30","125","0"
"31.01.2024 08:30 - 31.01.2024 08:45","29","0"
"31.01.2024 08:45 - 31.01.2024 09:00","69","0"
"31.01.2024 09:00 - 31.01.2024 09:15","0","10"
"31.01.2024 09:15 - 31.01.2024 09:30","0","1751"
"31.01.2024 09:30 - 31.01.2024 09:45","0","2073"
"31.01.2024 09:45 - 31.01.2024 10:00","0","2184"
"31.01.2024 10:00 - 31.01.2024 10:15","0","2181"
"31.01.2024 10:15 - 31.01.2024 10:30","0","2280"
"31.01.2024 10:30 - 31.01.2024 10:45","0","2497"
"31.01.2024 10:45 - 31.01.2024 11:00","0","2159"
"31.01.2024 11:00 - 31.01.2024 11:15","0","2160"
"31.01.2024 11:15 - 31.01.2024 11:30","0","2069"
"31.01.2024 11:30 - 31.01.2024 11:45","0","2575"
"31.01.2024 11:45 - 31.01.2024 12:00","0","2324"
"31.01.2024 12:00 - 31.01.2024 12:15","0","2252"
"31.01.2024 12:15 - 31.01.2024 12:30","0","2194"
"31.01.2024 12:30 - 31.01.2024 12:45","0","2174"
"31.01.2024 12:45 - 31.01.2024 13:00","0","2194"
"31.01.2024 13:00 - 31.01.2024 13:15","0","2157"
"31.01.2024 13:15 - 31.01.2024 13:30","0","1901"
"31.01.2024 13:30 - 31.01.2024 13:45","0","1976"
"31.01.2024 13:45 - 31.01.2024 14:00","0","2162"
"31.01.2024 14:00 - 31.01.2024 14:15","0","2259"
"31.01.2024 14:15 - 31.01.2024 14:30","0","2145"
"31.01.2024 14:30 - 31.01.2024 14:45","0","2214"
"31.01.2024 14:45 - 31.01.2024 15:00","0","2262"
"31.01.2024 15:00 - 31.01.2024 15:15","0","2218"
"31.01.2024 15:15 - 31.01.2024 15:30","0","2033"
"31.01.2024 15:30 - 31.01.2024 15:45","0","2211"
"31.01.2024 15:45 - 31.01.2024 16:00","0","2314"
"31.01.2024 16:00 - 31.01.2024 16:15","0","2313"
"31.01.2024 16:15 - 31.01.2024 16:30","0","2341"
"31.01.2024 16:30 - 31.01.2024 16:45","0","1990"
"31.01.2024 16:45 - 31.01.2024 17:00","0","1716"
"31.01.2024 17:00 - 31.01.2024 17:15","0","1520"
"31.01.2024 17:15 - 31.01.2024 17:30","0","1063"
"31.01.2024 17:30 - 31.01.2024 17:45","0","626"
"31.01.2024 17:45 - 31.01.2024 18:00","0","711"
"31.01.2024 18:00 - 31.01.2024 18:15","0","868"
"31.01.2024 18:15 - 31.01.2024 18:30","589","0"
"31.01.2024 18:30 - 31.01.2024 18:45","1504","0"
"31.01.2024 18:45 - 31.01.2024 19:00","1612","0"
"31.01.2024 19:00 - 31.01.2024 19:15","1482","0"
"31.01.2024 19:15 - 31.01.2024 19:30","2158","0"
"31.01.2024 19:30 - 31.01.2024 19:45","2542","0"
"31.01.2024 19:45 - 31.01.2024 20:00","2644","0"
"31.01.2024 20:00 - 31.01.2024 20:15","2681","0"
"31.01.2024 20:15 - 31.01.2024 20:30","2611","0"
"31.01.2024 20:30 - 31.01.2024 20:45","2840","0"
"31.01.2024 20:45 - 31.01.2024 21:00","2873","0"
"31.01.2024 21:00 - 31.01.2024 21:15","2895","0"
"31.01.2024 21:15 - 31.01.2024 21:30","2755","0"
"31.01.2024 21:30 - 31.01.2024 21:45","2910","0"
"31.01.2024 21:45 - 31.01.2024 22:00","2835","0"
"31.01.2024 22:00 - 31.01.2024 22:15","2840","0"
"31.01.2024 22:15 - 31.01.2024 22:30","2229","0"
"31.01.2024 22:30 - 31.01.2024 22:45","2571","0"
"31.01.2024 22:45 - 31.01.2024 23:00","2344","0"
"31.01.2024 23:00 - 31.01.2024 23:15","2397","0"
"31.01.2024 23:15 - 31.01.2024 23:30","2558","0"
"31.01.2024 23:30 - 31.01.2024 23:45","2610","0"
"31.01.2024 23:45 - 01.02.2024 00:00","2486","0"
"01.02.2024 00:00 - 01.02.2024 00:15","2585","0"
"01.02.2024 00:15 - 01.02.2024 00:30","2870","0"
"01.02.2024 00:30 - 01.02.2024 00:45","2995","0"
"01.02.2024 00:45 - 01.02.2024 01:00","2902","0"
"01.02.2024 01:00 - 01.02.2024 01:15","2921","0"
"01.02.2024 01:15 - 01.02.2024 01:30","2840","0"
"01.02.2024 01:30 - 01.02.2024 01:45","2904","0"
"01.02.2024 01:45 - 01.02.2024 02:00","2882","0"
"01.02.2024 02:00 - 01.02.2024 02:15","2934","0"
"01.02.2024 02:15 - 01.02.2024 02:30","2757","0"
"01.02.2024 02:30 - 01.02.2024 02:45","2886","0"
"01.02.2024 02:45 - 01.02.2024 03:00","2873","0"
"01.02.2024 03:00 - 01.02.2024 03:15","2928","0"
"01.02.2024 03:15 - 01.02.2024 03:30","2791","0"
"01.02.2024 03:30 - 01.02.2024 03:45","2894","0"
"01.02.2024 03:45 - 01.02.2024 04:00","2914","0"
"01.02.2024 04:00 - 01.02.2024 04:15","2833","0"
"01.02.2024 04:15 - 01.02.2024 04:30","2860","0"
"01.02.2024 04:30 - 01.02.2024 04:45","2847","0"
"01.02.2024 04:45 - 01.02.2024 05:00","2805","0"
"01.02.2024 05:00 - 01.02.2024 05:15","2717","0"
"01.02.2024 05:15 - 01.02.2024 05:30","1320","0"
"01.02.2024 05:30 - 01.02.2024 05:45","986","0"
"01.02.2024 05:45 - 01.02.2024 06:00","933","0"
"01.02.2024 06:00 - 01.02.2024 06:15","745","0"
"01.02.2024 06:15 - 01.02.2024 06:30","0","1210"
"01.02.2024 06:30 - 01.02.2024 06:45","0","1530"
"01.02.2024 06:45 - 01.02.2024 07:00","0","1610"
"01.02.2024 07:00 - 01.02.2024 07:15","0","1553"
"01.02.2024 07:15 - 01.02.2024 07:30","0","87"
"01.02.2024 07:30 - 01.02.2024 07:45","52","0"
"01.02.2024 07:45 - 01.02.2024 08:00","119","0"
"01.02.2024 08:00 - 01.02.2024 08:15","110","0"
"01.02.2024 08:15 - 01.02.2024 08:30","464","0"
"01.02.2024 08:30 - 01.02.2024 08:45","507","0"
"01.02.2024 08:45 - 01.02.2024 09:00","442","0"
"01.02.2024 09:00 - 01.02.2024 09:15","0","94"
"01.02.2024 09:15 - 01.02.2024 09:30","0","1653"
"01.02.2024 09:30 - 01.02.2024 09:45","0","2251"
"01.02.2024 09:45 - 01.02.2024 10:00","0","2311"
"01.02.2024 10:00 - 01.02.2024 10:15","0","2431"
"01.02.2024 10:15 - 01.02.2024 10:30","0","2183"
"01.02.2024 10:30 - 01.02.2024 10:45","0","2195"
"01.02.2024 10:45 - 01.02.2024 11:00","0","2260"
"01.02.2024 11:00 - 01.02.2024 11:15","0","2218"
"01.02.2024 11:15 - 01.02.2024 11:30","0","2228"
"01.02.2024 11:30 - 01.02.2024 11:45","0","2298"
"01.02.2024 11:45 - 01.02.2024 12:00","0","2258"
"01.02.2024 12:00 - 01.02.2024 12:15","0","2265"
"01.02.2024 12:15 - 01.02.2024 12:30","0","2212"
"01.02.2024 12:30 - 01.02.2024 12:45","0","2260"
"01.02.2024 12:45 - 01.02.2024 13:00","0","2373"
"01.02.2024 13:00 - 01.02.2024 13:15","0","2272"
"01.02.2024 13:15 - 01.02.2024 13:30","0","2334"
"01.02.2024 13:30 - 01.02.2024 13:45","0","2324"
"01.02.2024 13:45 - 01.02.2024 14:00","0","2477"
"01.02.2024 14:00 - 01.02.2024 14:15","0","2450"
"01.02.2024 14:15 - 01.02.2024 14:30","0","2835"
"01.02.2024 14:30 - 01.02.2024 14:45","0","2905"
"01.02.2024 14:45 - 01.02.2024 15:00","0","3008"
"01.02.2024 15:00 - 01.02.2024 15:15","0","2966"
"01.02.2024 15:15 - 01.02.2024 15:30","0","2609"
"01.02.2024 15:30 - 01.02.2024 15:45","0","2709"
"01.02.2024 15:45 - 01.02.2024 16:00","0","2779"
"01.02.2024 16:00 - 01.02.2024 16:15","0","2742"
"01.02.2024 16:15 - 01.02.2024 16:30","0","2951"
"01.02.2024 16:30 - 01.02.2024 16:45","0","2904"
"01.02.2024 16:45 - 01.02.2024 17:00","0","3005"
"01.02.2024 17:00 - 01.02.2024 17:15","0","2946"
"01.02.2024 17:15 - 01.02.2024 17:30","0","2467"
"01.02.2024 17:30 - 01.02.2024 17:45","0","2654"
"01.02.2024 17:45 - 01.02.2024 18:00","0","2828"
"01.02.2024 18:00 - 01.02.2024 18:15","0","2783"
"01.02.2024 18:15 - 01.02.2024 18:30","0","1957"
"01.02.2024 18:30 - 01.02.2024 18:45","0","1263"
"01.02.2024 18:45 - 01.02.2024 19:00","0","1359"
"01.02.2024 19:00 - 01.02.2024 19:15","0","1906"
"01.02.2024 19:15 - 01.02.2024 19:30","0","789"
"01.02.2024 19:30 - 01.02.2024 19:45","0","451"
"01.02.2024 19:45 - 01.02.2024 20:00","0","539"
"01.02.2024 20:00 - 01.02.2024 20:15","0","205"
"01.02.2024 20:15 - 01.02.2024 20:30","2202","0"
"01.02.2024 20:30 - 01.02.2024 20:45","2665","0"
"01.02.2024 20:45 - 01.02.2024 21:00","2652","0"
"01.02.2024 21:00 - 01.02.2024 21:15","2637","0"
"01.02.2024 21:15 - 01.02.2024 21:30","1773","0"
"01.02.2024 21:30 - 01.02.2024 21:45","1704","0"
"01.02.2024 21:45 - 01.02.2024 22:00","1786","0"
"01.02.2024 22:00 - 01.02.2024 22:15","1801","0"
"01.02.2024 22:15 - 01.02.2024 22:30","0","214"
"01.02.2024 22:30 - 01.02.2024 22:45","0","957"
"01.02.2024 22:45 - 01.02.2024 23:00","0","837"
"01.02.2024 23:00 - 01.02.2024 23:15","0","631"
"01.02.2024 23:15 - 01.02.2024 23:30","0","1485"
"01.02.2024 23:30 - 01.02.2024 23:45","0","1690"
"01.02.2024 23:45 - 02.02.2024 00:00","0","1871"
"02.02.2024 00:00 - 02.02.2024 00:15","0","1902"
"02.02.2024 00:15 - 02.02.2024 00:30","0","2735"
"02.02.2024 00:30 - 02.02.2024 00:45","0","3038"
"02.02.2024 00:45 - 02.02.2024 01:00","0","2973"
"02.02.2024 01:00 - 02.02.2024 01:15","0","3028"
"02.02.2024 01:15 - 02.02.2024 01:30","0","2497"
"02.02.2024 01:30 - 02.02.2024 01:45","0","2305"
"02.02.2024 01:45 - 02.02.2024 02:00","0","2475"
"02.02.2024 02:00 - 02.02.2024 02:15","0","2521"
"02.02.2024 02:15 - 02.02.2024 02:30","0","1694"
"02.02.2024 02:30 - 02.02.2024 02:45","0","1660"
"02.02.2024 02:45 - 02.02.2024 03:00","0","1605"
"02.02.2024 03:00 - 02.02.2024 03:15","0","1507"
"02.02.2024 03:15 - 02.02.2024 03:30","0","1269"
"02.02.2024 03:30 - 02.02.2024 03:45","0","1178"
"02.02.2024 03:45 - 02.02.2024 04:00","0","1159"
"02.02.2024 04:00 - 02.02.2024 04:15","0","1131"
"02.02.2024 04:15 - 02.02.2024 04:30","0","462"
"02.02.2024 04:30 - 02.02.2024 04:45","0","222"
"02.02.2024 04:45 - 02.02.2024 05:00","0","282"
"02.02.2024 05:00 - 02.02.2024 05:15","0","381"
"02.02.2024 05:15 - 02.02.2024 05:30","0","1467"
"02.02.2024 05:30 - 02.02.2024 05:45","0","1662"
"02.02.2024 05:45 - 02.02.2024 06:00","0","1799"
"02.02.2024 06:00 - 02.02.2024 06:15","0","1814"
"02.02.2024 06:15 - 02.02.2024 06:30","0","2581"
"02.02.2024 06:30 - 02.02.2024 06:45","0","2699"
"02.02.2024 06:45 - 02.02.2024 07:00","0","2697"
"02.02.2024 07:00 - 02.02.2024 07:15","0","2523"
"02.02.2024 07:15 - 02.02.2024 07:30","0","2408"
"02.02.2024 07:30 - 02.02.2024 07:45","0","2412"
"02.02.2024 07:45 - 02.02.2024 08:00","0","2405"
"02.02.2024 08:00 - 02.02.2024 08:15","0","2509"
"02.02.2024 08:15 - 02.02.2024 08:30","0","1934"
"02.02.2024 08:30 - 02.02.2024 08:45","0","2032"
"02.02.2024 08:45 - 02.02.2024 09:00","0","2084"
"02.02.2024 09:00 - 02.02.2024 09:15","0","2065"
"02.02.2024 09:15 - 02.02.2024 09:30","0","2466"
"02.02.2024 09:30 - 02.02.2024 09:45","0","2477"
"02.02.2024 09:45 - 02.02.2024 10:00","0","2596"
"02.02.2024 10:00 - 02.02.2024 10:15","0","2779"
"02.02.2024 10:15 - 02.02.2024 10:30","0","2523"
"02.02.2024 10:30 - 02.02.2024 10:45","0","2341"
"02.02.2024 10:45 - 02.02.2024 11:00","0","2390"
"02.02.2024 11:00 - 02.02.2024 11:15","0","2179"
"02.02.2024 11:15 - 02.02.2024 11:30","0","2207"
"02.02.2024 11:30 - 02.02.2024 11:45","0","2194"
"02.02.2024 11:45 - 02.02.2024 12:00","0","2165"
"02.02.2024 12:00 - 02.02.2024 12:15","0","2177"
"02.02.2024 12:15 - 02.02.2024 12:30","0","2190"
"02.02.2024 12:30 - 02.02.2024 12:45","0","2133"
"02.02.2024 12:45 - 02.02.2024 13:00","0","1938"
"02.02.2024 13:00 - 02.02.2024 13:15","0","1994"
"02.02.2024 13:15 - 02.02.2024 13:30","0","2372"
"02.02.2024 13:30 - 02.02.2024 13:45","0","2327"
"02.02.2024 13:45 - 02.02.2024 14:00","0","2574"
"02.02.2024 14:00 - 02.02.2024 14:15","0","2537"
"02.02.2024 14:15 - 02.02.2024 14:30","0","2557"
"02.02.2024 14:30 - 02.02.2024 14:45","0","2495"
"02.02.2024 14:45 - 02.02.2024 15:00","0","2579"
"02.02.2024 15:00 - 02.02.2024 15:15","0","2569"
"02.02.2024 15:15 - 02.02.2024 15:30","0","2608"
"02.02.2024 15:30 - 02.02.2024 15:45","0","2605"
"02.02.2024 15:45 - 02.02.2024 16:00","0","2667"
"02.02.2024 16:00 - 02.02.2024 16:15","0","2608"
"02.02.2024 16:15 - 02.02.2024 16:30","0","2634"
"02.02.2024 16:30 - 02.02.2024 16:45","0","2545"
"02.02.2024 16:45 - 02.02.2024 17:00","0","2683"
"02.02.2024 17:00 - 02.02.2024 17:15","0","2354"
"02.02.2024 17:15 - 02.02.2024 17:30","0","1835"
"02.02.2024 17:30 - 02.02.2024 17:45","0","1815"
"02.02.2024 17:45 - 02.02.2024 18:00","0","1658"
"02.02.2024 18:00 - 02.02.2024 18:15","0","1838"
"02.02.2024 18:15 - 02.02.2024 18:30","0","432"
"02.02.2024 18:30 - 02.02.2024 18:45","118","0"
"02.02.2024 18:45 - 02.02.2024 19:00","52","0"
"02.02.2024 19:00 - 02.02.2024 19:15","139","0"
"02.02.2024 19:15 - 02.02.2024 19:30","1073","0"
"02.02.2024 19:30 - 02.02.2024 19:45","1197","0"
"02.02.2024 19:45 - 02.02.2024 20:00","1282","0"
"02.02.2024 20:00 - 02.02.2024 20:15","1341","0"
"02.02.2024 20:15 - 02.02.2024 20:30","2310","0"
"02.02.2024 20:30 - 02.02.2024 20:45","2638","0"
"02.02.2024 20:45 - 02.02.2024 21:00","2634","0"
"02.02.2024 21:00 - 02.02.2024 21:15","2644","0"
"02.02.2024 21:15 - 02.02.2024 21:30","3363","0"
"02.02.2024 21:30 - 02.02.2024 21:45","3518","0"
"02.02.2024 21:45 - 02.02.2024 22:00","3491","0"
"02.02.2024 22:00 - 02.02.2024 22:15","3409","0"
"02.02.2024 22:15 - 02.02.2024 22:30","2596","0"
"02.02.2024 22:30 - 02.02.2024 22:45","2430","0"
"02.02.2024 22:45 - 02.02.2024 23:00","2591","0"
"02.02.2024 23:00 - 02.02.2024 23:15","2362","0"
"02.02.2024 23:15 - 02.02.2024 23:30","2865","0"
"02.02.2024 23:30 - 02.02.2024 23:45","2958","0"
"02.02.2024 23:45 - 03.02.2024 00:00","2920","0"
"03.02.2024 00:00 - 03.02.2024 00:15","2831","0"
"03.02.2024 00:15 - 03.02.2024 00:30","3047","0"
"03.02.2024 00:30 - 03.02.2024 00:45","3216","0"
"03.02.2024 00:45 - 03.02.2024 01:00","3262","0"
"03.02.2024 01:00 - 03.02.2024 01:15","3212","0"
"03.02.2024 01:15 - 03.02.2024 01:30","3014","0"
"03.02.2024 01:30 - 03.02.2024 01:45","2947","0"
"03.02.2024 01:45 - 03.02.2024 02:00","2958","0"
"03.02.2024 02:00 - 03.02.2024 02:15","2965","0"
"03.02.2024 02:15 - 03.02.2024 02:30","2872","0"
"03.02.2024 02:30 - 03.02.2024 02:45","2813","0"
"03.02.2024 02:45 - 03.02.2024 03:00","2682","0"
"03.02.2024 03:00 - 03.02.2024 03:15","2809","0"
"03.02.2024 03:15 - 03.02.2024 03:30","3133","0"
"03.02.2024 03:30 - 03.02.2024 03:45","2934","0"
"03.02.2024 03:45 - 03.02.2024 04:00","2962","0"
"03.02.2024 04:00 - 03.02.2024 04:15","3210","0"
"03.02.2024 04:15 - 03.02.2024 04:30","2887","0"
"03.02.2024 04:30 - 03.02.2024 04:45","2859","0"
"03.02.2024 04:45 - 03.02.2024 05:00","2807","0"
"03.02.2024 05:00 - 03.02.2024 05:15","2836","0"
"03.02.2024 05:15 - 03.02.2024 05:30","2745","0"
"03.02.2024 05:30 - 03.02.2024 05:45","2618","0"
"03.02.2024 05:45 - 03.02.2024 06:00","2749","0"
"03.02.2024 06:00 - 03.02.2024 06:15","2685","0"
"03.02.2024 06:15 - 03.02.2024 06:30","2893","0"
"03.02.2024 06:30 - 03.02.2024 06:45","2840","0"
"03.02.2024 06:45 - 03.02.2024 07:00","2802","0"
"03.02.2024 07:00 - 03.02.2024 07:15","2835","0"
"03.02.2024 07:15 - 03.02.2024 07:30","2893","0"
"03.02.2024 07:30 - 03.02.2024 07:45","2926","0"
"03.02.2024 07:45 - 03.02.2024 08:00","2812","0"
"03.02.2024 08:00 - 03.02.2024 08:15","2780","0"
"03.02.2024 08:15 - 03.02.2024 08:30","2789","0"
"03.02.2024 08:30 - 03.02.2024 08:45","3208","0"
"03.02.2024 08:45 - 03.02.2024 09:00","3303","0"
"03.02.2024 09:00 - 03.02.2024 09:15","3220","0"
"03.02.2024 09:15 - 03.02.2024 09:30","2610","0"
"03.02.2024 09:30 - 03.02.2024 09:45","2219","0"
"03.02.2024 09:45 - 03.02.2024 10:00","2167","0"
"03.02.2024 10:00 - 03.02.2024 10:15","2340","0"
"03.02.2024 10:15 - 03.02.2024 10:30","749","0"
"03.02.2024 10:30 - 03.02.2024 10:45","0","192"
"03.02.2024 10:45 - 03.02.2024 11:00","0","489"
"03.02.2024 11:00 - 03.02.2024 11:15","0","240"
"03.02.2024 11:15 - 03.02.2024 11:30","0","418"
"03.02.2024 11:30 - 03.02.2024 11:45","0","553"
"03.02.2024 11:45 - 03.02.2024 12:00","0","496"
"03.02.2024 12:00 - 03.02.2024 12:15","0","236"
"03.02.2024 12:15 - 03.02.2024 12:30","507","0"
"03.02.2024 12:30 - 03.02.2024 12:45","486","0"
"03.02.2024 12:45 - 03.02.2024 13:00","624","0"
"03.02.2024 13:00 - 03.02.2024 13:15","601","0"
"03.02.2024 13:15 - 03.02.2024 13:30","1995","0"
"03.02.2024 13:30 - 03.02.2024 13:45","2370","0"
"03.02.2024 13:45 - 03.02.2024 14:00","2354","0"
"03.02.2024 14:00 - 03.02.2024 14:15","2295","0"
"03.02.2024 14:15 - 03.02.2024 14:30","1402","0"
"03.02.2024 14:30 - 03.02.2024 14:45","930","0"
"03.02.2024 14:45 - 03.02.2024 15:00","741","0"
"03.02.2024 15:00 - 03.02.2024 15:15","548","0"
"03.02.2024 15:15 - 03.02.2024 15:30","0","1345"
"03.02.2024 15:30 - 03.02.2024 15:45","0","2177"
"03.02.2024 15:45 - 03.02.2024 16:00","0","2322"
"03.02.2024 16:00 - 03.02.2024 16:15","0","2447"
"03.02.2024 16:15 - 03.02.2024 16:30","0","2149"
"03.02.2024 16:30 - 03.02.2024 16:45","0","1775"
"03.02.2024 16:45 - 03.02.2024 17:00","0","1567"
"03.02.2024 17:00 - 03.02.2024 17:15","0","1647"
"03.02.2024 17:15 - 03.02.2024 17:30","0","967"
"03.02.2024 17:30 - 03.02.2024 17:45","0","186"
"03.02.2024 17:45 - 03.02.2024 18:00","0","361"
"03.02.2024 18:00 - 03.02.2024 18:15","0","353"
"03.02.2024 18:15 - 03.02.2024 18:30","647","0"
"03.02.2024 18:30 - 03.02.2024 18:45","1122","0"
"03.02.2024 18:45 - 03.02.2024 19:00","1088","0"
"03.02.2024 19:00 - 03.02.2024 19:15","1202","0"
"03.02.2024 19:15 - 03.02.2024 19:30","2120","0"
"03.02.2024 19:30 - 03.02.2024 19:45","2337","0"
"03.02.2024 19:45 - 03.02.2024 20:00","2356","0"
"03.02.2024 20:00 - 03.02.2024 20:15","2331","0"
"03.02.2024 20:15 - 03.02.2024 20:30","2796","0"
"03.02.2024 20:30 - 03.02.2024 20:45","2995","0"
"03.02.2024 20:45 - 03.02.2024 21:00","3047","0"
"03.02.2024 21:00 - 03.02.2024 21:15","3178","0"
"03.02.2024 21:15 - 03.02.2024 21:30","2987","0"
"03.02.2024 21:30 - 03.02.2024 21:45","3153","0"
"03.02.2024 21:45 - 03.02.2024 22:00","3068","0"
"03.02.2024 22:00 - 03.02.2024 22:15","3203","0"
"03.02.2024 22:15 - 03.02.2024 22:30","2842","0"
"03.02.2024 22:30 - 03.02.2024 22:45","2805","0"
"03.02.2024 22:45 - 03.02.2024 23:00","2816","0"
"03.02.2024 23:00 - 03.02.2024 23:15","2721","0"
"03.02.2024 23:15 - 03.02.2024 23:30","2976","0"
"03.02.2024 23:30 - 03.02.2024 23:45","3120","0"
"03.02.2024 23:45 - 04.02.2024 00:00","3150","0"
"04.02.2024 00:00 - 04.02.2024 00:15","3086","0"
"04.02.2024 00:15 - 04.02.2024 00:30","3252","0"
"04.02.2024 00:30 - 04.02.2024 00:45","3322","0"
"04.02.2024 00:45 - 04.02.2024 01:00","3188","0"
"04.02.2024 01:00 - 04.02.2024 01:15","3215","0"
"04.02.2024 01:15 - 04.02.2024 01:30","3234","0"
"04.02.2024 01:30 - 04.02.2024 01:45","3215","0"
"04.02.2024 01:45 - 04.02.2024 02:00","3218","0"
"04.02.2024 02:00 - 04.02.2024 02:15","3221","0"
"04.02.2024 02:15 - 04.02.2024 02:30","2998","0"
"04.02.2024 02:30 - 04.02.2024 02:45","3058","0"
"04.02.2024 02:45 - 04.02.2024 03:00","3071","0"
"04.02.2024 03:00 - 04.02.2024 03:15","3039","0"
"04.02.2024 03:15 - 04.02.2024 03:30","3049","0"
"04.02.2024 03:30 - 04.02.2024 03:45","3006","0"
"04.02.2024 03:45 - 04.02.2024 04:00","3039","0"
"04.02.2024 04:00 - 04.02.2024 04:15","3068","0"
"04.02.2024 04:15 - 04.02.2024 04:30","2888","0"
"04.02.2024 04:30 - 04.02.2024 04:45","2905","0"
"04.02.2024 04:45 - 04.02.2024 05:00","2856","0"
"04.02.2024 05:00 - 04.02.2024 05:15","2908","0"
"04.02.2024 05:15 - 04.02.2024 05:30","2873","0"
"04.02.2024 05:30 - 04.02.2024 05:45","2878","0"
"04.02.2024 05:45 - 04.02.2024 06:00","2883","0"
"04.02.2024 06:00 - 04.02.2024 06:15","2799","0"
"04.02.2024 06:15 - 04.02.2024 06:30","2940","0"
"04.02.2024 06:30 - 04.02.2024 06:45","2893","0"
"04.02.2024 06:45 - 04.02.2024 07:00","2852","0"
"04.02.2024 07:00 - 04.02.2024 07:15","2856","0"
"04.02.2024 07:15 - 04.02.2024 07:30","2995","0"
"04.02.2024 07:30 - 04.02.2024 07:45","3036","0"
"04.02.2024 07:45 - 04.02.2024 08:00","3026","0"
"04.02.2024 08:00 - 04.02.2024 08:15","3028","0"
"04.02.2024 08:15 - 04.02.2024 08:30","3004","0"
"04.02.2024 08:30 - 04.02.2024 08:45","3059","0"
"04.02.2024 08:45 - 04.02.2024 09:00","3013","0"
"04.02.2024 09:00 - 04.02.2024 09:15","3021","0"
"04.02.2024 09:15 - 04.02.2024 09:30","3243","0"
"04.02.2024 09:30 - 04.02.2024 09:45","3116","0"
"04.02.2024 09:45 - 04.02.2024 10:00","2912","0"
"04.02.2024 10:00 - 04.02.2024 10:15","2524","0"
"04.02.2024 10:15 - 04.02.2024 10:30","3014","0"
"04.02.2024 10:30 - 04.02.2024 10:45","2828","0"
"04.02.2024 10:45 - 04.02.2024 11:00","2780","0"
"04.02.2024 11:00 - 04.02.2024 11:15","2776","0"
"04.02.2024 11:15 - 04.02.2024 11:30","2819","0"
"04.02.2024 11:30 - 04.02.2024 11:45","2888","0"
"04.02.2024 11:45 - 04.02.2024 12:00","2956","0"
"04.02.2024 12:00 - 04.02.2024 12:15","2993","0"
"04.02.2024 12:15 - 04.02.2024 12:30","2865","0"
"04.02.2024 12:30 - 04.02.2024 12:45","2732","0"
"04.02.2024 12:45 - 04.02.2024 13:00","2626","0"
"04.02.2024 13:00 - 04.02.2024 13:15","2746","0"
"04.02.2024 13:15 - 04.02.2024 13:30","2714","0"
"04.02.2024 13:30 - 04.02.2024 13:45","2556","0"
"04.02.2024 13:45 - 04.02.2024 14:00","2559","0"
"04.02.2024 14:00 - 04.02.2024 14:15","2555","0"
