"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Biomass","290.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Fossil Gas","6974.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Fossil Hard coal","435.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Fossil Oil","121.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Geothermal","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Hydro Pumped Storage"," "
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Hydro Run-of-river and poundage","1443.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Hydro Water Reservoir","4913.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Marine","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Nuclear","7098.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Other renewable","97.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Solar","15.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Waste","255.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Wind Offshore","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Wind Onshore","1596.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Other","14.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ES","Energy storage","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Biomass","285.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Fossil Gas","7113.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Fossil Hard coal","435.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Fossil Oil","110.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Geothermal","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Hydro Pumped Storage"," "
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Hydro Run-of-river and poundage","1425.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Hydro Water Reservoir","4829.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Marine","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Nuclear","7097.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Other renewable","97.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Solar","15.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Waste","257.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Wind Offshore","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ES","Wind Onshore","1643.00"
